The Absolute Way;Relative Way;Class
C:\labs\pp_lab3\dataset\dataset_number\1606.jpg;dataset/dataset_number/1606.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1394.jpg;dataset/dataset_number/1394.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0118.jpg;dataset/dataset_number/0118.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7793.jpg;dataset/dataset_number/7793.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3287.jpg;dataset/dataset_number/3287.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9475.jpg;dataset/dataset_number/9475.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8223.jpg;dataset/dataset_number/8223.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8472.jpg;dataset/dataset_number/8472.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3229.jpg;dataset/dataset_number/3229.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3763.jpg;dataset/dataset_number/3763.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1414.jpg;dataset/dataset_number/1414.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9872.jpg;dataset/dataset_number/9872.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9125.jpg;dataset/dataset_number/9125.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8568.jpg;dataset/dataset_number/8568.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0263.jpg;dataset/dataset_number/0263.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0083.jpg;dataset/dataset_number/0083.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6817.jpg;dataset/dataset_number/6817.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9950.jpg;dataset/dataset_number/9950.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4619.jpg;dataset/dataset_number/4619.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5316.jpg;dataset/dataset_number/5316.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9261.jpg;dataset/dataset_number/9261.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2927.jpg;dataset/dataset_number/2927.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3022.jpg;dataset/dataset_number/3022.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4493.jpg;dataset/dataset_number/4493.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3631.jpg;dataset/dataset_number/3631.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6337.jpg;dataset/dataset_number/6337.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2559.jpg;dataset/dataset_number/2559.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3333.jpg;dataset/dataset_number/3333.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3632.jpg;dataset/dataset_number/3632.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0110.jpg;dataset/dataset_number/0110.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1340.jpg;dataset/dataset_number/1340.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6533.jpg;dataset/dataset_number/6533.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2459.jpg;dataset/dataset_number/2459.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4109.jpg;dataset/dataset_number/4109.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7176.jpg;dataset/dataset_number/7176.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8401.jpg;dataset/dataset_number/8401.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0704.jpg;dataset/dataset_number/0704.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2462.jpg;dataset/dataset_number/2462.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1224.jpg;dataset/dataset_number/1224.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2752.jpg;dataset/dataset_number/2752.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8685.jpg;dataset/dataset_number/8685.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1100.jpg;dataset/dataset_number/1100.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3069.jpg;dataset/dataset_number/3069.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8059.jpg;dataset/dataset_number/8059.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2699.jpg;dataset/dataset_number/2699.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0759.jpg;dataset/dataset_number/0759.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2959.jpg;dataset/dataset_number/2959.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2025.jpg;dataset/dataset_number/2025.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7086.jpg;dataset/dataset_number/7086.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1064.jpg;dataset/dataset_number/1064.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5775.jpg;dataset/dataset_number/5775.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8310.jpg;dataset/dataset_number/8310.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9028.jpg;dataset/dataset_number/9028.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8219.jpg;dataset/dataset_number/8219.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9042.jpg;dataset/dataset_number/9042.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0904.jpg;dataset/dataset_number/0904.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3921.jpg;dataset/dataset_number/3921.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7286.jpg;dataset/dataset_number/7286.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3617.jpg;dataset/dataset_number/3617.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4950.jpg;dataset/dataset_number/4950.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8262.jpg;dataset/dataset_number/8262.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2993.jpg;dataset/dataset_number/2993.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1235.jpg;dataset/dataset_number/1235.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6161.jpg;dataset/dataset_number/6161.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9091.jpg;dataset/dataset_number/9091.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6664.jpg;dataset/dataset_number/6664.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0121.jpg;dataset/dataset_number/0121.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0218.jpg;dataset/dataset_number/0218.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\8723.jpg;dataset/dataset_number/8723.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9980.jpg;dataset/dataset_number/9980.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4347.jpg;dataset/dataset_number/4347.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6418.jpg;dataset/dataset_number/6418.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7235.jpg;dataset/dataset_number/7235.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3817.jpg;dataset/dataset_number/3817.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7055.jpg;dataset/dataset_number/7055.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\9870.jpg;dataset/dataset_number/9870.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7381.jpg;dataset/dataset_number/7381.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\1310.jpg;dataset/dataset_number/1310.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2693.jpg;dataset/dataset_number/2693.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2738.jpg;dataset/dataset_number/2738.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2359.jpg;dataset/dataset_number/2359.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\7867.jpg;dataset/dataset_number/7867.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\3801.jpg;dataset/dataset_number/3801.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\0239.jpg;dataset/dataset_number/0239.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\5426.jpg;dataset/dataset_number/5426.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\2123.jpg;dataset/dataset_number/2123.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\4150.jpg;dataset/dataset_number/4150.jpg;zebra
C:\labs\pp_lab3\dataset\dataset_number\6504.jpg;dataset/dataset_number/6504.jpg;zebra
